entity,isInUMLS,weight
significant health benefits,0,33.8295
significant positive associations,0,33.8295
significant side effects,0,33.8295
significantly lower odds,0,33.8295
situ breast cancer,1,33.8295
size and stage,0,33.8295
size in relation,0,33.8295
sloan-kettering cancer center,0,33.8295
small bowel obstruction,1,33.8295
sphingosine,1,33.8295
stage at presentation,0,33.8295
stage iii disease,0,33.8295
stage prostate cancer,1,33.8295
state cancer registry,0,33.8295
state health registry,0,33.8295
statistically significant increases,0,33.8295
strategy for breast,0,33.8295
strengths and weaknesses,0,33.8295
stress in obesity,0,33.8295
strong positive associations,0,33.8295
stronger risk factor,0,33.8295
students in grades,0,33.8295
studies of bmi,0,33.8295
studies of patients,0,33.8295
study of incident,0,33.8295
study of us,0,33.8295
study on breast,0,33.8295
subcutaneous fat accumulation,0,33.8295
subgroup of women,0,33.8295
subset of women,0,33.8295
subsets of patients,0,33.8295
substantial weight loss,0,33.8295
surgery for cancer,0,33.8295
surgical margin status,0,33.8295
survival in cancer,0,33.8295
survival of cancer,0,33.8295
susceptibility to colon,0,33.8295
sympathetic nervous system,1,33.8295
symptoms of depression,1,33.8295
syndrome or obesity,0,33.8295
synthesis and secretion,0,33.8295
ta,1,33.8295
taiwan university hospital,0,33.8295
target for diabetes,0,33.8295
target for prevention,0,33.8295
target for therapy,0,33.8295
target for type,0,33.8295
targets for prevention,0,33.8295
terms of prevention,0,33.8295
these two pathways,0,33.8295
these two populations,0,33.8295
this cebp focus,0,33.8295
three time points,0,33.8295
thromboembolism in cancer,0,33.8295
thyroid cancer cases,0,33.8295
times a day,0,33.8295
times the risk,0,33.8295
tissues and cell,0,33.8295
tnf-α and il-6,0,33.8295
tnm staging system,1,33.8295
total health care,0,33.8295
treatment for hcc,0,33.8295
treatment of childhood,0,33.8295
treatment of insulin,0,33.8295
treatment of t2dm,0,33.8295
tumor suppressor pten,0,33.8295
tumorigenesis in mice,0,33.8295
two recent studies,0,33.8295
type of malignancy,0,33.8295
type of tumor,0,33.8295
type-2 diabetes mellitus,0,33.8295
types of tumors,0,33.8295
understanding of obesity,0,33.8295
univariate logistic regression,0,33.8295
university of california,0,33.8295
unopposed estrogen therapy,0,33.8295
upregulation of leptin,0,33.8295
use and obesity,0,33.8295
use and smoking,0,33.8295
use of antibiotics,0,33.8295
use of cox,0,33.8295
use of estrogens,0,33.8295
use of hrt,0,33.8295
use of insulin,0,33.8295
variables of interest,0,33.8295
variations in cancer,0,33.8295
variety of conditions,0,33.8295
variety of foods,0,33.8295
various cell types,0,33.8295
various metabolic diseases,0,33.8295
vas,1,33.8295
veterans affairs medical,0,33.8295
viral hepatitis b,1,33.8295
web of knowledge,0,33.8295
weight and adiposity,0,33.8295
weight at ages,0,33.8295
weight for height,1,33.8295
weight or obesity,0,33.8295
weighted genetic risk,0,33.8295
western washington state,0,33.8295
white blood cell,1,33.8295
whole body metabolism,0,33.8295
wide association studies,0,33.8295
women over age,0,33.8295
women with cancer,0,33.8295
women with endometrial,0,33.8295
years at follow-up,0,33.8295
younger age groups,0,33.8295
youths,1,33.8295
5 kg m increment,0,33.4804
activation of the insulin,0,33.4804
activity and endometrial cancer,0,33.4804
activity in cancer prevention,0,33.4804
activity in the treatment,0,33.4804
adipocyte fatty acid-binding protein,0,33.4804
adiponectin levels and breast,0,33.4804
adiponectin with breast cancer,0,33.4804
adipose tissue and liver,0,33.4804
adjusted hazard ratio 0,0,33.4804
adjusted odds ratio 1,0,33.4804
adolescent body mass index,0,33.4804
adult morbidity and mortality,0,33.4804
adult overweight and obesity,0,33.4804
advanced epithelial ovarian cancer,0,33.4804
advanced glycation end products,1,33.4804
age and other confounders,0,33.4804
age and sex-adjusted analysis,0,33.4804
akt and mapk pathways,0,33.4804
all-cause and cardiovascular disease,0,33.4804
alterations in dna methylation,0,33.4804
american indian alaska native,0,33.4804
androgen-deprivation therapy for prostate,0,33.4804
animal model of obesity,0,33.4804
anthropometric and metabolic parameters,0,33.4804
anthropometric measures of adiposity,0,33.4804
anthropometry and breast cancer,0,33.4804
assay and micronucleus test,0,33.4804
association between bmi category,0,33.4804
association between childhood obesity,0,33.4804
association between colorectal adenoma,0,33.4804
association of colorectal adenoma,0,33.4804
association of diabetes mellitus,0,33.4804
azoxymethane-induced colonic premalignant lesions,0,33.4804
b and c infection,0,33.4804
behaviors of cancer survivors,0,33.4804
beliefs about the causes,0,33.4804
biomarkers of oxidative stress,0,33.4804
blood pressure 140 90,0,33.4804
bmi 24 kg m,0,33.4804
bmi and lung cancer,0,33.4804
bmi and menopausal status,0,33.4804
bmi and waist-hip ratio,0,33.4804
body fat and risk,0,33.4804
body mass index range,0,33.4804
body weight and health,0,33.4804
body weight on breast,0,33.4804
breast and ovarian cancers,0,33.4804
breast cancer detection demonstration,0,33.4804
breast cancer in tunisia,0,33.4804
breast cancer in west,0,33.4804
breast cancer with bmi,0,33.4804
breast or endometrial cancer,0,33.4804
cancer and hepatocellular carcinoma,0,33.4804
cancer and leukemia group,0,33.4804
cancer detection demonstration project,0,33.4804
cancer during the follow-up,0,33.4804
cancer screening in women,0,33.4804
cancers of the esophagus,0,33.4804
carcinoma of the head,0,33.4804
cardiovascular disease at baseline,0,33.4804
cardiovascular disease in women,0,33.4804
cases of bladder cancer,0,33.4804
cases with breast cancer,0,33.4804
cell size and cell,0,33.4804
change since age 18,0,33.4804
chinese men and women,0,33.4804
cholesterol and low density,0,33.4804
clinical and epidemiologic studies,0,33.4804
clinical outcome of patients,0,33.4804
collaborative trial of ovarian,0,33.4804
colorectal cancer after obesity,0,33.4804
components of the mets,0,33.4804
comprehensive cancer control program,0,33.4804
conditions and risk factors,0,33.4804
conjugated linoleic acid isomers,0,33.4804
consumption and breast cancer,0,33.4804
consumption and colorectal cancer,0,33.4804
cost and utilization project,0,33.4804
da vinci robotic system,0,33.4804
deaths in the us,0,33.4804
deep inferior epigastric perforator,0,33.4804
demographic and clinical characteristics,0,33.4804
development of colorectal adenoma,0,33.4804
development of effective interventions,0,33.4804
diabetes and diabetic complications,0,33.4804
diet-induced obesity and diabetes,0,33.4804
dietary factors and cancer,0,33.4804
dietary gi and gl,0,33.4804
difference in genotype distribution,0,33.4804
differences in cancer risk,0,33.4804
different types of obesity,0,33.4804
dissection for gastric cancer,0,33.4804
early and late complications,0,33.4804
effect of body composition,0,33.4804
effect on cell proliferation,0,33.4804
effect on prostate cancer,0,33.4804
effect on the breast,0,33.4804
effects of breast cancer,0,33.4804
elderly men and women,0,33.4804
elective colorectal cancer surgery,0,33.4804
elevated systolic blood pressure,1,33.4804
elimination of health disparities,0,33.4804
endometrial cancer after adjustment,0,33.4804
energy in the form,0,33.4804
er+ pr+ breast cancer,0,33.4804
esophageal and gastric cardia,0,33.4804
estrogens and estrogen metabolites,0,33.4804
ethnic differences in breast,0,33.4804
expression of adiponectin receptor,0,33.4804
expression of cyclin d1,0,33.4804
extracellular signal-regulated kinases 1,0,33.4804
extremes of body mass,0,33.4804
factor for bladder cancer,0,33.4804
factor for lung cancer,0,33.4804
factor for ovarian cancer,0,33.4804
factor of endometrial cancer,0,33.4804
factors for breast carcinoma,0,33.4804
factors for liver cancer,0,33.4804
family history of type,0,33.4804
fat and saturated fat,0,33.4804
fat intake and breast,0,33.4804
features of the tumor,0,33.4804
female balb c mice,0,33.4804
flint men's health,0,33.4804
four body mass index,0,33.4804
g protein-coupled estrogen receptor,1,33.4804
gain since age 18,0,33.4804
gastrectomy in obese patients,0,33.4804
genes in the mouse,0,33.4804
glucose and amino acids,0,33.4804
glucose metabolism and insulin,0,33.4804
group of obese patients,0,33.4804
growth factor receptor 2-positive,0,33.4804
growth hormone secretagogue receptor,1,33.4804
growth of colon cancer,0,33.4804
growth of pancreatic cancer,0,33.4804
growth stimulation of breast,0,33.4804
hcc in obese individuals,0,33.4804
health and disease cohort,0,33.4804
health behaviors of cancer,0,33.4804
health benefits of exercise,0,33.4804
health initiative dietary modification,0,33.4804
health insurance corporation study,0,33.4804
healthy men and women,0,33.4804
heart disease and hypertension,0,33.4804
high school students nationwide,0,33.4804
high-grade prostate cancer risk,0,33.4804
higher prevalence of diabetes,0,33.4804
higher prevalence of hypertension,0,33.4804
higher prostate specific antigen,0,33.4804
higher risk for breast,0,33.4804
history of thyroid disease,0,33.4804
homeostasis model assessment index,0,33.4804
hospital-based epidemiologic research program,0,33.4804
human breast epithelial cells,0,33.4804
human endometrial cancer cell,0,33.4804
human orphan receptor brs-3,0,33.4804
human telomerase reverse transcriptase,0,33.4804
impact on the rate,0,33.4804
incidence of invasive breast,0,33.4804
incidence of wound infection,0,33.4804
increases in adipose tissue,0,33.4804
index and cancer screening,0,33.4804
index and endometrial cancer,0,33.4804
index as a risk,0,33.4804
inferior epigastric perforator flap,0,33.4804
influence of these factors,0,33.4804
inhibition of de novo,0,33.4804
initiative dietary modification trial,0,33.4804
instituto mexicano del seguro,0,33.4804
insulin and adiponectin levels,0,33.4804
insulin-like growth factor 2,1,33.4804
intake and alcohol intake,0,33.4804
intake and colorectal cancer,0,33.4804
intake and weight change,0,33.4804
intake of vitamin d,0,33.4804
intensive care unit admission,0,33.4804
investigation into cancer study,0,33.4804
kg m and waist,0,33.4804
kidney and renal pelvis,0,33.4804
laparoscopic colorectal cancer surgery,0,33.4804
leakage after anterior resection,0,33.4804
lean and obese women,0,33.4804
leptin-induced breast cancer cell,0,33.4804
life in endometrial cancer,0,33.4804
lifestyle factors and breast,0,33.4804
lipoprotein cholesterol and risk,0,33.4804
liver and skeletal muscle,0,33.4804
long-term quality of life,0,33.4804
loss in breast cancer,0,33.4804
low serum testosterone level,0,33.4804
lower levels of adiponectin,0,33.4804
lower prostate-specific antigen levels,0,33.4804
lower risk of mortality,0,33.4804
management of hepatocellular carcinoma,0,33.4804
markers of oxidative stress,0,33.4804
mass index and use,0,33.4804
mass index on psa,0,33.4804
massive weight loss patients,0,33.4804
matrix-assisted laser desorption ionization,0,33.4804
mcf-7 and t47d cells,0,33.4804
mean number of lymph,0,33.4804
measure of central obesity,0,33.4804
measures of insulin resistance,0,33.4804
medical consequences of obesity,0,33.4804
melanoma and non-melanoma skin,0,33.4804
members of this family,0,33.4804
men with a psa,0,33.4804
metabolic syndrome in prostate,0,33.4804
metabolism and insulin resistance,0,33.4804
metabolism in skeletal muscle,0,33.4804
mexicano del seguro social,0,33.4804
mitochondrial dna copy number,0,33.4804
mitochondrial fatty acid beta-oxidation,0,33.4804
model for breast cancer,0,33.4804
modulation of energy balance,0,33.4804
mortality after bariatric surgery,0,33.4804
mortality after endometrial cancer,0,33.4804
mortality among endometrial cancer,0,33.4804
multiple cancer risk factors,0,33.4804
multiple metabolic risk factors,1,33.4804
national health interview surveys,0,33.4804
national population health survey,0,33.4804
natural history of breast,0,33.4804
normal colonic epithelial cells,0,33.4804
number of chronic conditions,0,33.4804
number of incident cases,0,33.4804
number of metabolic risk,0,33.4804
nutrition examination survey i,0,33.4804
obesity and cancer mortality,0,33.4804
obesity and impaired glucose,0,33.4804
obesity in cancer survival,0,33.4804
obesity in lung cancer,0,33.4804
obesity in the u,0,33.4804
obesity or central obesity,0,33.4804
oncogenic role of leptin,0,33.4804
opportunities for cancer prevention,0,33.4804
osteoarthritis of the knee,1,33.4804
outcomes in developed countries,0,33.4804
outcomes in the management,0,33.4804
ovarian and fallopian tube,0,33.4804
overweight and obese cancer,0,33.4804
overweight obese breast cancer,0,33.4804
overweight or obese group,0,33.4804
pancreatic cancer and diabetes,0,33.4804
pathology of breast cancer,0,33.4804
patients with advanced stage,0,33.4804
patients with alcoholic liver,0,33.4804
patients with chronic hbv,0,33.4804
patients with endometrial tumors,0,33.4804
patients with gastric carcinoma,0,33.4804
patients with hepatitis c,0,33.4804
patients with high vfa,0,33.4804
patients with liver cancer,0,33.4804
percent of all cancers,0,33.4804
perimenopausal and postmenopausal women,0,33.4804
personal history of cancer,0,33.4804
persons with a bmi,0,33.4804
pittsburgh sleep quality index,0,33.4804
plasma estrone and estradiol,0,33.4804
positive association between serum,0,33.4804
post-menopausal breast cancer patients,0,33.4804
postmenopausal patients with breast,0,33.4804
potential association between obesity,0,33.4804
pre-diagnosis body mass index,0,33.4804
prediagnosis body mass index,0,33.4804
prevalence of chronic disease,0,33.4804
prevalence of colorectal cancer,0,33.4804
prevalence of liver cancer,0,33.4804
prevalence of major risk,0,33.4804
prevalence of these diseases,0,33.4804
prevention of this disease,0,33.4804
primary epithelial ovarian cancer,0,33.4804
prognosis of colorectal cancer,0,33.4804
prostate cancer in african-american,0,33.4804
prostate cancer on biopsy,0,33.4804
protection against oxidative stress,0,33.4804
racial and ethnic disparities,0,33.4804
radiation therapy for prostate,0,33.4804
ratio of pancreatic cancer,0,33.4804
recovery of bowel function,0,33.4804
regulation of skeletal muscle,0,33.4804
regulation of stearoyl-coa desaturase,0,33.4804
relationship between serum adiponectin,0,33.4804
relationship between vitamin d,0,33.4804
relative risk of obesity,0,33.4804
resection for rectal carcinoma,0,33.4804
resection of rectal cancer,0,33.4804
resection of the rectum,0,33.4804
retinoic acid receptor-related orphan,0,33.4804
risk factor for bladder,0,33.4804
risk factors for arm,0,33.4804
risk factors for dvt,0,33.4804
risk factors for gallstone,0,33.4804
risk factors for liver,0,33.4804
risk for all-cause mortality,0,33.4804
risk for rectal cancer,0,33.4804
risk of adenoma recurrence,0,33.4804
risk of advanced adenoma,0,33.4804
risk of breast carcinoma,0,33.4804
risk of metabolic diseases,0,33.4804
risk of nonaggressive disease,0,33.4804
risk of overall cancer,0,33.4804
risk of tumor recurrence,0,33.4804
risks of prostate cancer,0,33.4804
robot-assisted laparoscopic radical prostatectomy,0,33.4804
robot-assisted total laparoscopic hysterectomy,0,33.4804
robotic-assisted laparoscopic radical prostatectomy,0,33.4804
role of gut microbiota,0,33.4804
sample of breast cancer,0,33.4804
sd increase in bmi,0,33.4804
second primary breast cancer,0,33.4804
serum 25-hydroxyvitamin d level,0,33.4804
serum cholesterol and triglycerides,0,33.4804
short and long term,0,33.4804
situ of the breast,0,33.4804
society of medical oncology,0,33.4804
squamous cell esophageal cancer,1,33.4804
stages of the life,0,33.4804
staging of pancreatic cancer,0,33.4804
survivors of endometrial cancer,0,33.4804
sweden health and disease,0,33.4804
tamoxifen in breast cancer,0,33.4804
thrombosis in cancer patients,0,33.4804
tissue expander breast reconstruction,0,33.4804
tract cancers and stones,0,33.4804
treatment and endometrial cancer,0,33.4804
treatment for childhood cancer,0,33.4804
trends in endometrial cancer,0,33.4804
trends in the united,0,33.4804
trial of ovarian cancer,0,33.4804
tumor characteristics and treatment,0,33.4804
university healthsystem consortium database,0,33.4804
upper body fat localization,0,33.4804
use of health services,0,33.4804
use of unopposed estrogens,0,33.4804
waist circumference and whr,0,33.4804
weight change during adulthood,0,33.4804
weight change in participants,0,33.4804
weight gain and loss,0,33.4804
weight gain throughout adulthood,0,33.4804
weight in kg height,0,33.4804
weight loss in breast,0,33.4804
weight loss intervention study,0,33.4804
woman with a bmi,0,33.4804
women and breast cancer,0,33.4804
women with uterine cancer,0,33.4804
women's health providers,0,33.4804
young women with ec,0,33.4804
addresses,1,33.4458
allowance,1,33.4458
associate,1,33.4458
avenue,0,33.4458
bank,1,33.4458
bearing,1,33.4458
capture,0,33.4458
cardio,0,33.4458
cheese,1,33.4458
defence,0,33.4458
dialing,0,33.4458
early-life,0,33.4458
embryogenesis,1,33.4458
epidemiologic,1,33.4458
exploring,0,33.4458
f4,0,33.4458
factor-beta,0,33.4458
fight,1,33.4458
forty-six,0,33.4458
gonadotropin,1,33.4458
ground,0,33.4458
growth-promoting,0,33.4458
headache,1,33.4458
i-iv,0,33.4458
insensitivity,1,33.4458
instances,0,33.4458
kruskal-wallis,0,33.4458
linking,0,33.4458
malaria,1,33.4458
malfunction,1,33.4458
mitochondrial,1,33.4458
oxidative,1,33.4458
paradigms,1,33.4458
places,1,33.4458
plausibility,0,33.4458
poor,1,33.4458
positions,1,33.4458
predicting,0,33.4458
pro-inflammatory,0,33.4458
prominence,0,33.4458
receptor-α,0,33.4458
representation,1,33.4458
sensitization,1,33.4458
severe,1,33.4458
single,1,33.4458
specialties,0,33.4458
stays,0,33.4458
stromal,0,33.4458
suppressors,0,33.4458
surfaces,0,33.4458
terminal,1,33.4458
terminology,1,33.4458
thirty-two,0,33.4458
tryptophan,1,33.4458
viewpoint,1,33.4458
vital,1,33.4458
von,0,33.4458
yields,0,33.4458
#NAME?,0,33.0927
3t3-l1 cell,1,33.0927
abdominal wound,0,33.0927
acs nsqip,0,33.0927
adipocyte-cancer cell,0,33.0927
age-adjusted rr,0,33.0927
age-standardized mortality,0,33.0927
aicr recommendations,0,33.0927
air pollutants,1,33.0927
allelic discrimination,0,33.0927
allelic variants,0,33.0927
anal cancer,1,33.0927
antagonistic activity,0,33.0927
anthropometric indexes,0,33.0927
anti-diabetic drugs,0,33.0927
anti-tumor immunity,0,33.0927
antioxidant nutrients,0,33.0927
antipsychotic drugs,1,33.0927
arsenic exposure,1,33.0927
asian people,0,33.0927
axillary lymphadenectomy,1,33.0927
bacterial flora,0,33.0927
bcr-free survival,0,33.0927
behavioral health,1,33.0927
biologic factors,1,33.0927
biological clock,1,33.0927
blood hypertension,0,33.0927
blot analyses,0,33.0927
bmi 30kg,0,33.0927
bmi 85th,0,33.0927
bmi associations,0,33.0927
bmi quintiles,0,33.0927
breast lesions,1,33.0927
brisk walking,0,33.0927
c57bl 6n,0,33.0927
calendar period,0,33.0927
cancer features,0,33.0927
cancer pathophysiology,0,33.0927
carcinogenesis model,0,33.0927
cardiometabolic disease,0,33.0927
case participants,0,33.0927
cellular adhesion,1,33.0927
cereal fiber,0,33.0927
cerebrovascular events,0,33.0927
circadian regulation,0,33.0927
combination chemotherapy,1,33.0927
common pathways,0,33.0927
complex pathogenesis,0,33.0927
complex trait,0,33.0927
cr research,0,33.0927
crypt cell,1,33.0927
cut-off values,0,33.0927
d'amico classification,0,33.0927
da vinci,0,33.0927
data base,1,33.0927
defense forces,0,33.0927
deficiency diseases,1,33.0927
demographic features,0,33.0927
deprived areas,0,33.0927
desorption ionization,0,33.0927
diet regimen,0,33.0927
dna content,1,33.0927
drink consumption,0,33.0927
embryo development,1,33.0927
endogenous factors,1,33.0927
endogenous ligands,0,33.0927
endometrioid ec,0,33.0927
environmental effects,1,33.0927
epithelial tissues,1,33.0927
estimated prevalence,0,33.0927
ethnic backgrounds,0,33.0927
evidence-based recommendations,0,33.0927
false negatives,1,33.0927
false positives,1,33.0927
family-cancer database,0,33.0927
fdg uptake,0,33.0927
food fortification,0,33.0927
frequency analysis,0,33.0927
function tests,0,33.0927
gastric band,1,33.0927
gene function,1,33.0927
gene pathways,0,33.0927
genetic effect,0,33.0927
genetic testing,1,33.0927
golden hamsters,1,33.0927
gut microbial,0,33.0927
hcv patients,0,33.0927
health index,0,33.0927
health science,0,33.0927
health studies,0,33.0927
health-promoting properties,0,33.0927
health-related factors,0,33.0927
healthy humans,0,33.0927
healthy males,0,33.0927
hematopoietic cell,1,33.0927
hormonal abnormalities,0,33.0927
hormone status,0,33.0927
hormone users,0,33.0927
igf-1 pathway,0,33.0927
immune dysregulation,1,33.0927
insulin igf1,0,33.0927
intermediate endpoints,0,33.0927
intervention components,0,33.0927
intestinal flora,1,33.0927
intracorporeal anastomosis,0,33.0927
intrahepatic bile,0,33.0927
invasive procedures,1,33.0927
iu day,0,33.0927
japanese adults,0,33.0927
ketogenic diets,1,33.0927
kidney transplant,1,33.0927
king county,0,33.0927
kras mutations,0,33.0927
lactose intolerance,1,33.0927
laser desorption,0,33.0927
lean muscle,0,33.0927
left colectomy,1,33.0927
legs syndrome,0,33.0927
leptin promoter,0,33.0927
life exposures,0,33.0927
lifestyle disease,0,33.0927
lipid mediators,0,33.0927
lipoprotein receptor,1,33.0927
liver enzyme,1,33.0927
locoregional recurrences,0,33.0927
low stage,0,33.0927
low-dose oral,0,33.0927
low-grade disease,0,33.0927
lower bmis,0,33.0927
lung carcinomas,0,33.0927
lung tissue,1,33.0927
lymphatic vasculature,0,33.0927
m1 macrophages,0,33.0927
macrophage inflammatory,0,33.0927
mapk activation,1,33.0927
medicinal herbs,1,33.0927
medroxyprogesterone acetate,1,33.0927
melanocortin receptor,1,33.0927
mendelian randomisation,0,33.0927
metabolite levels,0,33.0927
mexican patients,0,33.0927
micronucleus test,1,33.0927
milk protein,1,33.0927
mitochondrial genome,1,33.0927
mitochondrial research,0,33.0927
mixed methods,0,33.0927
ml kg,0,33.0927
mobility limitations,1,33.0927
months post-surgery,0,33.0927
msi status,0,33.0927
mss tumors,0,33.0927
mtdna mutations,0,33.0927
national registers,0,33.0927
negative margins,0,33.0927
negative pressure,0,33.0927
nf-kappa b,1,33.0927
nhs ii,0,33.0927
nicotinamide phosphoribosyltransferase,1,33.0927
node retrieval,0,33.0927
nodes involvement,0,33.0927
non-o blood,0,33.0927
obese bc,0,33.0927
obese cohort,0,33.0927
obese ec,0,33.0927
obese girls,0,33.0927
obese iii,0,33.0927
obesity crisis,0,33.0927
obesity-related parameters,0,33.0927
obesity-related prostate,0,33.0927
obstructive disease,1,33.0927
overweight breast,0,33.0927
p53 protein,1,33.0927
pancreatic disorders,1,33.0927
pancreatic head,1,33.0927
peptide agonist,0,33.0927
pharmacophore model,0,33.0927
phosphatase inhibitors,0,33.0927
physical illness,1,33.0927
physiologic role,0,33.0927
plant species,0,33.0927
plasma estrogens,0,33.0927
plasma hemodilution,0,33.0927
positive expression,0,33.0927
postoperative survival,0,33.0927
ppar ligands,0,33.0927
ppardelta agonists,0,33.0927
prader-willi syndrome,1,33.0927
preoperative chemoradiation,0,33.0927
pretreatment body,0,33.0927
prevention treatment,0,33.0927
preventive oncology,0,33.0927
primary crc,0,33.0927
primary site,1,33.0927
primary studies,0,33.0927
private insurance,0,33.0927
product intake,0,33.0927
progesterone test,1,33.0927
protein diet,1,33.0927
pten akt,0,33.0927
racial difference,1,33.0927
radiation doses,0,33.0927
recent cd4,0,33.0927
reconstruction patients,0,33.0927
repair protein,0,33.0927
replication cohort,0,33.0927
research advances,0,33.0927
research issues,0,33.0927
restless legs,1,33.0927
rhode island,1,33.0927
routine part,0,33.0927
sample population,0,33.0927
search database,0,33.0927
self defense,1,33.0927
self-reported information,0,33.0927
serine phosphorylation,0,33.0927
serum amyloid,1,33.0927
serum estrone,1,33.0927
serum metabolites,0,33.0927
serum protein,1,33.0927
serum uric,0,33.0927
shanghai men,0,33.0927
silico screening,0,33.0927
south asians,1,33.0927
ssi rate,0,33.0927
stage cancer,0,33.0927
state level,0,33.0927
stress pathways,0,33.0927
surgical wound,1,33.0927
survival study,0,33.0927
swedish family-cancer,0,33.0927
symptom severity,1,33.0927
taste perception,1,33.0927
teenage years,0,33.0927
testosterone therapy,0,33.0927
therapeutic properties,0,33.0927
traditional mediterranean,0,33.0927
treatment patterns,0,33.0927
tumor microenvironments,1,33.0927
tumor-specific survival,0,33.0927
twin study,1,33.0927
valvular disease,1,33.0927
vte incidence,0,33.0927
weight normalization,0,33.0927
whitehall study,0,33.0927
women study,0,33.0927
β-cell mass,0,33.0927
anthocyanin,1,33.0377
c2,1,33.0377
cdkn2a,1,33.0377
climate,1,33.0377
congress,1,33.0377
diethylnitrosamine,1,33.0377
dohad,0,33.0377
exon,1,33.0377
grants,1,33.0377
grape,1,33.0377
hepatotoxicity,1,33.0377
hydrochloride,1,33.0377
hypercoagulability,1,33.0377
intima-media,0,33.0377
israeli,1,33.0377
lactose,1,33.0377
met-h,0,33.0377
microtubule,1,33.0377
msh6,1,33.0377
mtch2,1,33.0377
mushrooms,1,33.0377
ncep,0,33.0377
outputs,0,33.0377
overexpressing,0,33.0377
participatory,0,33.0377
pharmacogenetics,1,33.0377
prl,1,33.0377
reuptake,1,33.0377
srebp,0,33.0377
woman-years,0,33.0377
yamc,0,33.0377
-420 c g,0,32.6554
#NAME?,0,32.6554
1 pme diet,0,32.6554
10 corn oil,0,32.6554
100 g dm,0,32.6554
15-f,0,32.6554
2 diabetes mellitus-induced,0,32.6554
21 units week,0,32.6554
25 d level,0,32.6554
44 years old,0,32.6554
60 months post-diagnosis,0,32.6554
60 year old,0,32.6554
a 95 ci,0,32.6554
abcg1 and rxrα,0,32.6554
acetylation and ubiquitylation,0,32.6554
acox1 ob ob,0,32.6554
activity of cyp,0,32.6554
acute stroke patients,0,32.6554
adenomatous colonic polyps,1,32.6554
adiponectin and fetuin-a,0,32.6554
adipose-specific vdr deletion,0,32.6554
advanced renal cell,0,32.6554
aec,1,32.6554
alkb repair enzymes,0,32.6554
alu insertion polymorphism,0,32.6554
ames dwarf mice,0,32.6554
androgenic sex steroids,0,32.6554
anm,1,32.6554
annual serum screening,0,32.6554
anorexia and bulimia,0,32.6554
anterior skull base,0,32.6554
anthocleista,1,32.6554
ard,1,32.6554
aromatase inhibitor group,0,32.6554
asians or pacific,0,32.6554
association of birth,0,32.6554
asthma hospital admissions,0,32.6554
at neoadjuvant chemotherapy,0,32.6554
atp6 and nd3,0,32.6554
autocrine il-6 production,0,32.6554
background weight gain,0,32.6554
bard,0,32.6554
basal metabolic rates,1,32.6554
bcf,0,32.6554
behaviour-related risk factors,0,32.6554
bella coola valley,0,32.6554
benign endometrial biopsy,0,32.6554
big data research,0,32.6554
biopsy or d&c,0,32.6554
bmi and hba1c,0,32.6554
bmi and sa,0,32.6554
bmi on admission,0,32.6554
bmi risk alleles,0,32.6554
bmr and bmi,0,32.6554
body cell mass,0,32.6554
body weight variability,0,32.6554
bph and pca,0,32.6554
breast cancer positive,0,32.6554
breast ductal lavage,0,32.6554
breast tissue composition,0,32.6554
bsn723,0,32.6554
burden of mrcc,0,32.6554
burdock,1,32.6554
canadian cancer survivors,0,32.6554
cancer cardiovascular risk,0,32.6554
cancer or aeh,0,32.6554
cancer recurrence risk,0,32.6554
cancer second malignancy,0,32.6554
candidate snp markers,0,32.6554
cardiometabolic health nurse,0,32.6554
cardiorespiratory risk factors,0,32.6554
caregivers of adolescents,0,32.6554
cathepsin k inhibitors,0,32.6554
cell death proliferation,0,32.6554
cellular dna repair,0,32.6554
cf6,1,32.6554
chemerin cmklr1 axis,0,32.6554
chemotherapy dose modification,0,32.6554
chemotherapy dose selection,0,32.6554
chia,1,32.6554
children with ds,0,32.6554
chinese female population,0,32.6554
chloral hydrate exposure,0,32.6554
chronic disease mortality,0,32.6554
chronic oedema lymphoedema,0,32.6554
chronic prostatitis chronic,0,32.6554
ci 0 3,0,32.6554
clinic for substance,0,32.6554
collagen hydrolysate supplementation,0,32.6554
combination with cancer,0,32.6554
composite healthy aging,0,32.6554
composition and activity,0,32.6554
composition on weight,0,32.6554
concentration in blood,0,32.6554
concentrations of retinol,0,32.6554
conjugated linolenic acids,0,32.6554
consumption during pregnancy,0,32.6554
correlation between pcos,0,32.6554
covcar cell lines,0,32.6554
cpri,0,32.6554
cu-c,0,32.6554
cy3g,0,32.6554
cyclin d1 transactivation,0,32.6554
d'amico tumor risk,0,32.6554
d-,0,32.6554
dash for health,0,32.6554
daunorubicin,1,32.6554
days of discharge,0,32.6554
de novo solid,0,32.6554
decade a group,0,32.6554
decade b group,0,32.6554
degarelix,1,32.6554
delattg promoter polymorphism,0,32.6554
detection of hypoxia,1,32.6554
developmental atrazine exposure,0,32.6554
developmental gh igf-1,0,32.6554
dfi,0,32.6554
dfoxo,0,32.6554
diabetes mellitus-induced hyperglycemia,0,32.6554
diagnosis of ac,0,32.6554
dietary quality index,0,32.6554
dimensions of body,0,32.6554
disease-gene prioritization methods,0,32.6554
dish and spondylosis,0,32.6554
dmmr,0,32.6554
dogs without cancer,0,32.6554
dominant dietary patterns,0,32.6554
double-staple technique subgroup,0,32.6554
eams,0,32.6554
early-onset endometrial cancer,0,32.6554
east european countries,0,32.6554
